Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
0.0,100,0,250,112,0.16,0.158,10
0.0,100,1,250,112,0.16,0.158,10
0.0,100,2,250,112,0.16,0.158,10
0.0,100,-9,250,112,0.16,0.158,20
0.0,100,-7,250,112,0.16,0.158,20
0.0,100,-6,250,112,0.16,0.158,20
0.0,100,-3,250,112,0.16,0.158,20
0.0,100,-1,250,112,0.16,0.158,20
0.0,100,1,250,112,0.16,0.158,20
0.0,100,2,250,112,0.16,0.158,20
0.0,100,-9,250,112,0.16,0.158,10
0.0,100,-8,250,112,0.16,0.158,10
0.0,100,-7,250,112,0.16,0.158,10
0.0,100,-2,250,112,0.16,0.158,30
0.0,100,2,250,112,0.16,0.158,30
0.0,100,-6,250,112,0.16,0.158,10
0.0,100,-5,250,112,0.16,0.158,10
0.0,100,-2,250,112,0.16,0.158,50
0.0,100,-4,250,112,0.16,0.158,10
0.0,100,-6,250,112,0.16,0.158,60
0.0,100,-5,250,112,0.16,0.158,60
0.0,100,-4,250,112,0.16,0.158,60
0.0,100,-2,250,112,0.16,0.158,60
0.0,100,-3,250,112,0.16,0.158,10
0.0,100,4,250,112,0.16,0.158,60
0.0,100,-2,250,112,0.16,0.158,10
0.0,100,4,250,112,0.16,0.158,75
0.0,100,-1,250,112,0.16,0.158,10
1.0,100,-1,250,112,0.16,0.158,10
1.0,100,0,250,112,0.16,0.158,10
1.0,100,1,250,112,0.16,0.158,10
1.0,100,2,250,112,0.16,0.158,10
2.0,100,-8,250,112,0.16,0.158,20
2.0,100,-7,250,112,0.16,0.158,20
2.0,100,-6,250,112,0.16,0.158,20
2.0,100,-4,250,112,0.16,0.158,20
2.0,100,-3,250,112,0.16,0.158,20
2.0,100,-2,250,112,0.16,0.158,20
2.0,100,-1,250,112,0.16,0.158,20
2.0,100,0,250,112,0.16,0.158,20
2.0,100,1,250,112,0.16,0.158,20
2.0,100,2,250,112,0.16,0.158,20
2.0,100,-9,250,112,0.16,0.158,10
2.0,100,-8,250,112,0.16,0.158,10
2.0,100,-7,250,112,0.16,0.158,10
2.0,100,-6,250,112,0.16,0.158,10
2.0,100,-5,250,112,0.16,0.158,10
2.0,100,-4,250,112,0.16,0.158,10
2.0,100,-3,250,112,0.16,0.158,10
2.0,100,-2,250,112,0.16,0.158,10
2.0,100,-1,250,112,0.16,0.158,10
2.0,100,0,250,112,0.16,0.158,10
2.0,100,1,250,112,0.16,0.158,10
2.0,100,2,250,112,0.16,0.158,10
3.0,100,-9,250,112,0.16,0.158,10
3.0,100,-8,250,112,0.16,0.158,10
3.0,100,-7,250,112,0.16,0.158,10
3.0,100,-6,250,112,0.16,0.158,10
3.0,100,-1,250,112,0.16,0.158,30
3.0,100,1,250,112,0.16,0.158,30
3.0,100,-5,250,112,0.16,0.158,10
3.0,100,-4,250,112,0.16,0.158,10
3.0,100,-3,250,112,0.16,0.158,10
3.0,100,-2,250,112,0.16,0.158,10
3.0,100,-1,250,112,0.16,0.158,10
3.0,100,0,250,112,0.16,0.158,10
3.0,100,1,250,112,0.16,0.158,10
3.0,100,2,250,112,0.16,0.158,10
